TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3233	0.000000000000000e+0	1.150700000000000e+4
4848	0.000000000000000e+0	1.151400000000000e+4
6468	6.980000000000000e+2	1.142600000000000e+4
8088	9.520000000000000e+2	1.134700000000000e+4
9690	9.720000000000000e+2	1.132200000000000e+4
11306	9.720000000000000e+2	1.122400000000000e+4
12925	9.970000000000000e+2	1.128900000000000e+4
14550	1.003000000000000e+3	1.129100000000000e+4
16046	9.950000000000000e+2	1.131700000000000e+4
17653	1.008000000000000e+3	1.130700000000000e+4
19291	1.022000000000000e+3	1.129400000000000e+4
20902	1.023000000000000e+3	1.131600000000000e+4
22543	1.014000000000000e+3	1.130000000000000e+4
24160	1.012000000000000e+3	1.130800000000000e+4
25767	1.041000000000000e+3	1.130200000000000e+4
27387	1.020000000000000e+3	1.130200000000000e+4
28996	1.009000000000000e+3	1.124800000000000e+4
30616	1.030000000000000e+3	1.127900000000000e+4
32228	1.029000000000000e+3	1.131000000000000e+4
33847	1.023000000000000e+3	1.130700000000000e+4
35471	1.028000000000000e+3	1.129700000000000e+4
36965	1.041000000000000e+3	1.129200000000000e+4
38592	1.055000000000000e+3	1.129500000000000e+4
40201	1.060000000000000e+3	1.127100000000000e+4
41820	1.054000000000000e+3	1.128500000000000e+4
43447	1.035000000000000e+3	1.130300000000000e+4
45061	1.046000000000000e+3	1.130600000000000e+4
46684	1.016000000000000e+3	1.130400000000000e+4
48300	1.052000000000000e+3	1.129900000000000e+4
49928	1.050000000000000e+3	1.128700000000000e+4
51553	1.044000000000000e+3	1.130000000000000e+4
53166	1.057000000000000e+3	1.131300000000000e+4
54774	1.041000000000000e+3	1.130300000000000e+4
56391	1.050000000000000e+3	1.127800000000000e+4
57996	1.059000000000000e+3	1.129000000000000e+4
59556	1.036000000000000e+3	1.128300000000000e+4
61232	1.009000000000000e+3	1.130400000000000e+4
62736	1.018000000000000e+3	1.130100000000000e+4
64344	1.011000000000000e+3	1.131600000000000e+4
65956	1.024000000000000e+3	1.126600000000000e+4
67576	1.029000000000000e+3	1.129700000000000e+4
69205	9.980000000000000e+2	1.127300000000000e+4
70834	1.009000000000000e+3	1.124500000000000e+4
72451	1.035000000000000e+3	1.128100000000000e+4
74069	1.045000000000000e+3	1.128100000000000e+4
75675	1.041000000000000e+3	1.129200000000000e+4
77328	1.009000000000000e+3	1.127900000000000e+4
78925	1.027000000000000e+3	1.130000000000000e+4
80540	1.051000000000000e+3	1.129800000000000e+4
82149	1.021000000000000e+3	1.128200000000000e+4
