TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3239	1.472000000000000e+3	1.591100000000000e+4
4849	1.469000000000000e+3	1.590700000000000e+4
6370	1.466000000000000e+3	1.589600000000000e+4
8110	1.470000000000000e+3	1.588200000000000e+4
9599	1.468000000000000e+3	1.588500000000000e+4
11227	1.461000000000000e+3	1.586000000000000e+4
12963	1.449000000000000e+3	1.586700000000000e+4
14450	1.441000000000000e+3	1.584800000000000e+4
16071	1.439000000000000e+3	1.586000000000000e+4
17703	1.436000000000000e+3	1.584300000000000e+4
19322	1.432000000000000e+3	1.584500000000000e+4
20936	1.433000000000000e+3	1.583700000000000e+4
22526	1.435000000000000e+3	1.582300000000000e+4
24148	1.437000000000000e+3	1.583200000000000e+4
25767	1.443000000000000e+3	1.581600000000000e+4
27382	1.432000000000000e+3	1.580500000000000e+4
